STATION,STATION_NAME,DATE,TAVG
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971001,20.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971002,19.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971003,20.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971004,18.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971005,20.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971006,20.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971007,19.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971008,20.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971009,21.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971010,20.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971011,20.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971012,16.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971013,12.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971014,11.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971015,11.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971016,14.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971017,14.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971018,19.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971019,18.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971020,18.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971021,19.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971022,16.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971023,16.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971024,14.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971025,9.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971026,11.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971027,12.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971028,12.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971029,8.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971030,5.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971031,4.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971101,5.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971102,6.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971103,13.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971104,16.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971105,14.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971106,13.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971107,11.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971108,13.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971109,12.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971110,8.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971111,9.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971112,8.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971113,9.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971114,9.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971115,9.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971116,9.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971117,11.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971118,14.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971119,12.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971120,8.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971121,7.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971122,7.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971123,6.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971124,7.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971125,9.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971126,12.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971127,11.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971128,9.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971129,10.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971130,9.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971201,10.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971202,9.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971203,2.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971204,0.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971205,0.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971206,-0.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971207,1.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971208,4.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971209,9.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971210,8.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971211,13.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971212,10.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971213,5.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971214,0.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971215,3.1
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971216,4.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971217,13.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971218,13.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971219,9.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971220,8.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971221,8.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971222,6.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971223,10.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971224,8.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971225,11.7
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971226,9.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971227,7.5
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971228,7.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971229,6.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971230,8.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19971231,8.8
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980101,6.9
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980102,7.6
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980103,12.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980104,10.3
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980105,9.4
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980106,8.2
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980107,7.0
GHCND:FR000007630,BLAGNAC AEROP. TOULOUSE BLAGNA FR,19980108,7.5
